SYMBOL,EXPIRY,STRIKE PRICE,OPTION TYPE,OPEN PRICE,HI PRICE,LO PRICE,CLOSE PRICE,%,OPEN INTEREST,DATE,F & O OPEN,F & O HI,F & O LO,F & O CLOSE
ACC       ,30/Jan/2020,1300.0,PE      ,4.05,4.05,4.05,4.05,,400.0,07/Jan/2020,1459.85,1472.6,1439.1,1463.85
ACC       ,30/Jan/2020,1340.0,PE      ,2.3,6.45,2.3,6.45,,800.0,03/Jan/2020,1501.0,1503.65,1474.15,1484.6
ACC       ,30/Jan/2020,1340.0,PE      ,9.0,9.5,9.0,9.5,,800.0,06/Jan/2020,1475.0,1475.5,1435.95,1440.55
ACC       ,30/Jan/2020,1340.0,PE      ,6.2,6.3,6.0,6.0,-36.84,1600.0,07/Jan/2020,1459.85,1472.6,1439.1,1463.85
ACC       ,30/Jan/2020,1360.0,PE      ,8.5,8.6,8.5,8.6,,6800.0,01/Jan/2020,1461.3,1464.8,1446.4,1449.4
ACC       ,30/Jan/2020,1360.0,PE      ,6.2,6.3,4.9,4.9,,8400.0,02/Jan/2020,1451.65,1509.8,1451.65,1503.15
ACC       ,30/Jan/2020,1360.0,PE      ,9.5,13.3,8.95,13.0,,20000.0,06/Jan/2020,1475.0,1475.5,1435.95,1440.55
ACC       ,30/Jan/2020,1360.0,PE      ,8.4,11.65,7.9,9.1,-30.0,34000.0,07/Jan/2020,1459.85,1472.6,1439.1,1463.85
ACC       ,30/Jan/2020,1380.0,PE      ,11.3,13.35,11.3,13.2,,40000.0,01/Jan/2020,1461.3,1464.8,1446.4,1449.4
ACC       ,30/Jan/2020,1380.0,PE      ,11.5,11.5,5.75,5.8,,22400.0,02/Jan/2020,1451.65,1509.8,1451.65,1503.15
ACC       ,30/Jan/2020,1380.0,PE      ,5.9,7.85,5.9,7.8,,24400.0,03/Jan/2020,1501.0,1503.65,1474.15,1484.6
ACC       ,30/Jan/2020,1380.0,PE      ,11.85,18.0,11.85,17.55,,39600.0,06/Jan/2020,1475.0,1475.5,1435.95,1440.55
ACC       ,30/Jan/2020,1380.0,PE      ,11.0,16.45,10.65,11.95,-31.91,42400.0,07/Jan/2020,1459.85,1472.6,1439.1,1463.85
ACC       ,30/Jan/2020,1400.0,CE      ,70.0,70.0,70.0,70.0,,1200.0,01/Jan/2020,1461.3,1464.8,1446.4,1449.4
ACC       ,30/Jan/2020,1400.0,CE      ,94.0,97.0,94.0,97.0,,1200.0,02/Jan/2020,1451.65,1509.8,1451.65,1503.15
ACC       ,30/Jan/2020,1400.0,CE      ,96.0,96.0,92.0,92.0,,800.0,03/Jan/2020,1501.0,1503.65,1474.15,1484.6
ACC       ,30/Jan/2020,1400.0,CE      ,65.0,65.0,65.0,65.0,-29.35,1200.0,07/Jan/2020,1459.85,1472.6,1439.1,1463.85
